Name,Serving Size Description,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Malt,,,90,1,0.5,0,5,70,19,0,16,2
Root Beer Float,,,430,15,9,0,100,220,70,0,69,7
Purple Cow Float,,,460,15,9,0,100,210,79,0,78,7
Creamsicle Float,,,440,15,9,0,100,240,75,0,74,7
ngle Chocolate Cup,,,310,19,11,0.5,110,120,32,0,29,6
Double Chocolate Cup,,,490,30,18,1,175,190,51,0,47,9
Single Vanilla Cup,,,280,15,9,0,100,180,30,0,30,7
Double Vanilla Cup,,,450,24,14,0,165,280,49,0,48,11
Single Vanilla & Chocolate Cup,,,290,17,10,0,105,150,31,0,29,6
Double Vanilla & Chocolate Cup,,,470,27,16,0,170,230,50,0,47,10
Shack-made Lemonade (Small),,,160,0,0,0,0,10,43,0,40,0
Shack-made Lemonade (Large),,,270,0,0,0,0,15,70,0,66,0
Featured Lemonade (Small),,,190,2,2,0,0,10,45,0,42,1
Featured Lemonade (Large),,,315,4,4,0,0,18,73,0,69,1
Fresh Brewed Iced Tea (Small),,,5,0,0,0,0,10,1,0,0,0
Fresh Brewed Iced Tea (Large),,,5,0,0,0,0,15,2,0,0,0
Fresh Brewed Sweetened Iced Tea (Small),,,110,0,0,0,0,10,28,0,27,0
Fresh Brewed Sweetened Iced Tea (Large),,,170,0,0,0,0,15,45,0,44,0
Fifty-Fifty (Small),,,80,0,0,0,0,10,22,0,20,0
Fifty-Fifty (Large),,,140,0,0,0,0,15,36,0,33,0
Coke (Small),,,140,0,0,0,0,45,39,0,39,0
Coke (Large),,,210,0,0,0,0,65,58,0,58,0
Diet Coke (Small),,,0,0,0,0,0,40,0,0,0,0
Diet Coke (Large),,,0,0,0,0,0,60,0,0,0,0
Coke Zero (Small),,,0,0,0,0,0,40,0,0,0,0
Coke Zero (Large),,,0,0,0,0,0,60,0,0,0,0
Sprite (Small),,,140,0,0,0,0,30,36,0,32,0
Sprite (Large),,,240,0,0,0,0,55,60,0,53,0
Fanta Orange (Small),,,160,0,0,0,0,60,45,0,44,0
Fanta Orange (Large),,,240,0,0,0,0,90,67,0,66,0
Fanta Grape (Small),,,180,0,0,0,0,35,49,0,49,0
Fanta Grape (Large),,,270,0,0,0,0,55,73,0,73,0
Dr. Pepper (Small),,,150,0,0,0,0,60,40,0,38,0
Dr. Pepper (Large),,,220,0,0,0,0,90,59,0,58,0
Diet Dr. Pepper (Small),,,0,0,0,0,0,60,0,0,0,0
Diet Dr. Pepper (Large),,,0,0,0,0,0,90,0,0,0,0
Crush (Small),,,160,0,0,0,0,70,43,0,43,0
Crush (Large),,,240,0,0,0,0,110,65,0,64,0
Diet Pepsi (Small),,,0,0,0,0,0,35,0,0,0,0
Diet Pepsi (Large),,,0,0,0,0,0,55,0,0,0,0
Mist TWST (Small),,,140,0,0,0,0,35,39,0,39,0
Mist TWST (Large),,,220,0,0,0,0,50,58,0,58,0
Mountain Dew (Small),,,170,0,0,0,0,65,46,0,46,0
Mountain Dew (Large),,,260,0,0,0,0,95,69,0,69,0
Diet Mountain Dew (Small),,,5,0,0,0,0,50,1,0,1,0
Diet Mountain Dew (Large),,,10,0,0,0,0,75,1,0,1,0
Pepsi (Small),,,150,0,0,0,0,35,41,0,41,0
Pepsi (Large),,,220,0,0,0,0,50,62,0,62,0
PepsiMAX (Small),,,0,0,0,0,0,40,0,0,0,0
PepsiMAX (Large),,,0,0,0,0,0,60,0,0,0,0
Abita Root Beer (Bottle),,,180,0,0,0,0,16,44,0,38,0
Abita Root Beer (Small),,,170,0,0,0,0,15,42,0,36,0
Abita Root Beer (Large),,,280,0,0,0,0,25,69,0,59,0
Orange Juice,,,165,0,0,0,0,12,41,2,30,3
Honest Kids Apple Juice,,,40,0,0,0,0,0,10,0,9,0
SHACK2O,,,0,0,0,0,0,0,0,0,0,0
Brooklyn Brewery ShackMeister Ale (16 oz Draft),,473,210,0,0,0,0,0,17,0,0,2
Brooklyn Brewery ShackMeister Ale (24 oz Draft),,710,310,0,0,0,0,0,25,0,0,4
Brooklyn Brewery ShackMeister Ale (32 oz Draft),,946,420,0,0,0,0,0,33,0,0,5
Brooklyn Brewery ShackMeister Ale (60 oz Draft),,1774,780,0,0,0,0,0,62,0,0,9
Beer Float,,,490,15,9,0,100,190,52,0,30,8
Shack White (6 oz),,177,140,0,0,0,0,0,4,0,0,0
Shack White Bottle (750 ml),,750,600,0,0,0,0,0,15,0,0,1
Shack Red (6 oz),,177,150,0,0,0,0,0,5,0,0,0
Shack Red Bottle (750 ml),,750,620,0,0,0,0,0,19,0,0,1
Shack Red Can (8.4 oz),,248,210,0,0,0,0,10,6,0,0,0
Shack White Can (8.4 oz),,248,200,0,0,0,0,10,5,0,0,0
Shack Rosé Can (8.4 oz),,248,210,0,0,0,0,10,9,0,0,1
Shack Sparkling Can (8.4 oz),,248,200,0,0,0,0,15,6,0,0,0
